Grouped Metabolites,Clinical data 95% CI,Clinical data R2,Clinical data p-value,Diet 95% CI,Diet R2,Diet p-value,Full model 95% CI,Full model R2,Full model p-value,Genetics 95% CI,Genetics R2,Genetics p-value,Lifestyle 95% CI,Lifestyle R2,Lifestyle p-value,Microbiome 95% CI,Microbiome R2,Microbiome p-value,Time of day 95% CI,Time of day R2,Time of day p-value,CHEMICAL_ID,COMP_ID,Group   HMDB_ID,Sample   HMDB_ID,BIOCHEMICAL,CAS,CHEMSPIDER,KEGG,MASS,PATHWAY_SORTORDER,PLATFORM,PUBCHEM,RI,SUB_PATHWAY,SUPER_PATHWAY,COMMENT,metabolite,micro_r2,geno_r2,total,group,BIOCHEMICAL_NAME
100006098+100001086,"(-0.04337926824057465, 0.050922020596171264)",0.0471199282753521,0.0544516181179298,"(0.19810332271104128, 0.2660298509939816)",0.250225499518772,5.58774899270488e-43,"(0.28678473707927915, 0.341389771743167)",0.362949760935072,3.52806018370134e-131,,-0.00283055505281959,1.0,,-0.0485931703281106,1.0,"(0.13911321752139358, 0.2103898992666663)",0.216586805432744,1.23706260957835e-32,"(-0.01055967081909874, 0.022657762693081618)",0.0203583911524415,0.0194833785442057,100006098,48448,,,3-hydroxypyridine sulfate,1955-23-3,16232314.0,,173.98665,4585.0,LC/MS Neg,,1595.5,Chemical,Xenobiotics,3-hydroxypyridine sulfate,metabolite_100006098,0.216586805432744,0.0,0.216586805432744,microbiome,3-hydroxypyridine sulfate
100004112+100004110,"(-0.07646317715795603, 0.025272282873078793)",0.0415791509623922,0.110909682982491,"(0.21690802659964845, 0.28795793101531275)",0.278180693920296,5.55470164110511e-48,"(0.2929079892348757, 0.35264654168151255)",0.378786072770717,2.39077195104143e-121,,-0.00362794980596614,1.0,,-0.0446978437939327,1.0,"(0.12908344680875938, 0.20164784626699225)",0.215302439555991,3.14657971337166e-32,"(0.0037277209724655286, 0.0353123458008966)",0.0305859804408893,0.000250732641791605,100004112,46165,,,3-methyl catechol sulfate (1),,,,203.00196,3526.0,LC/MS Neg,,2790.0,Benzoate Metabolism,Xenobiotics,3-methyl catechol sulfate (1),metabolite_100004112,0.215302439555991,0.0,0.215302439555991,microbiome,3-methyl catechol sulfate (1)
100001657,,-0.0467499188895803,1.0,,-0.0568645963739997,1.0,"(0.15215184314648447, 0.249342408164762)",0.230515681763807,2.45781626835689e-19,,-0.0158672892152262,1.0,"(-0.08473713201368656, 0.010186313303899224)",0.012989683228158,0.604782452138845,"(0.11762902199355578, 0.22690999285081243)",0.213646643669182,1.88532587261781e-14,,-0.0109797007528558,1.0,100001657,32620,HMDB02639,,glycolithocholate sulfate*,15324-64-8,65188.0,C11301,255.63073,2628.0,LC/MS Neg,72222.0,5011.0,Secondary Bile Acid Metabolism,Lipid,glycolithocholate sulfate*,metabolite_100001657,0.213646643669182,0.0,0.213646643669182,microbiome,glycolithocholate sulfate*
X - 21821+X - 17351,,-0.0353417110597402,1.0,"(0.0403515699565191, 0.12497054549254646)",0.0942480269043275,7.60007263916142e-06,"(0.17145615511189416, 0.2398195135399503)",0.228522799107895,2.27769731255326e-35,,-0.0102959560085742,1.0,,-0.0303207164873295,1.0,"(0.1491353498267325, 0.22453004180455918)",0.208642457375894,6.30976987709845e-26,"(8.62145374899678e-05, 0.03184851255736033)",0.0195787756960356,0.019238764927267,X - 21821,46998,,,X - 21821,,,,243.0783,,LC/MS Neg,,2930.0,,,X - 21821,metabolite_X - 21821,0.208642457375894,0.0,0.208642457375894,microbiome,X - 21821
1090+100001951,"(0.015468950406025108, 0.10917363811704552)",0.116175396939919,1.41583914215416e-06,,-0.0896541096131489,1.0,"(0.02834109638220583, 0.10218147570240145)",0.099810666214684,1.89310034150059e-07,"(0.2084496750290885, 0.2084506750290885)",0.208449675029088,1.17100770804717e-22,,-0.034195177960111,1.0,,-0.0071334190680552,1.0,"(0.008793526641330124, 0.04192706936448256)",0.0278718222735266,0.000880234414746187,1090,43807,HMDB00054,,"bilirubin (Z,Z)",635-65-4,4444055.0,C00486,585.27076,3460.0,LC/MS Pos Late,5280352.0,1840.0,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,"bilirubin (Z,Z)",metabolite_1090,0.0,0.208449675029088,0.208449675029088,genetics,"bilirubin (Z,Z)"
X - 21792,,-0.0621033912393975,1.0,,-0.0239259187380482,1.0,,-0.0100792411885877,1.0,"(0.2065641430716577, 0.20656514307165771)",0.206564143071657,1.30073636758108e-22,,-0.0319409791561837,1.0,,-0.0472938935118654,1.0,,-0.00583288768017298,1.0,X - 21792,46968,,,decadienedioic acid (C10:2-DC)**,,,,197.08265,,LC/MS Neg,,1290.0,"Fatty Acid, Dicarboxylate",Lipid,X - 21792,metabolite_X - 21792,0.0,0.206564143071657,0.206564143071657,genetics,decadienedioic acid (C10:2-DC)**
X - 12329+X - 12230,"(-0.03947720334126006, 0.0532914394297405)",0.0512060481807415,0.0305382865431917,"(0.18295138863727237, 0.24941125591715013)",0.247353267478215,2.65902560489798e-47,"(0.2750480892432191, 0.33172459032595886)",0.348123056850392,1.54020775844033e-117,,-0.00489453765492142,1.0,,-0.0738692876825692,1.0,"(0.13488185974396688, 0.20474003913881458)",0.205805463395087,5.48281325848761e-30,,-0.00319101241716901,1.0,X - 12329,47659,,,3-hydroxy-2-methylpyridine sulfate,,,,188.00252,,LC/MS Neg,,1854.0,Chemical,Xenobiotics,X - 12329,metabolite_X - 12329,0.205805463395087,0.0,0.205805463395087,microbiome,3-hydroxy-2-methylpyridine sulfate
100009264+100009266,"(-0.08635465017825619, 0.013576593941155556)",0.0321427345349346,0.202455324649623,,-0.0844327667889253,1.0,"(-0.01025444567189789, 0.06879895062413899)",0.068961576943645,0.000516297513499003,"(0.1977553174523772, 0.1977563174523772)",0.197755317452377,1.78109653035426e-21,,-0.0379215995448132,1.0,"(-0.06733216816983857, 0.020726981314005195)",0.00634963731181614,0.76872124193999,"(0.03335040025880293, 0.06278874332101872)",0.050703613677175,4.63638810503432e-11,100009264,52983,,,glycochenodeoxycholate glucuronide (1),,,,311.66583,2615.0,LC/MS Neg,,4806.0,Primary Bile Acid Metabolism,Lipid,glycochenodeoxycholate glucuronide (1),metabolite_100009264,0.00634963731181614,0.197755317452377,0.20410495476419316,hybrid,glycochenodeoxycholate glucuronide (1)
100006108,"(-0.05391496459125889, 0.04048148830006676)",0.0307509486092899,0.194556377465769,,-0.0406747760235031,1.0,"(0.17568804006978417, 0.23960312552447574)",0.238547884571195,7.17986646780309e-47,,-0.00250208471987289,1.0,,-0.0720410543662917,1.0,"(0.15186886720970216, 0.21971308490640507)",0.203491343591424,1.86764473235128e-30,,-0.00747421968555084,1.0,100006108,48425,,,phenylacetylcarnitine,287108-21-8,,,280.15434,862.0,LC/MS Pos Early,101724840.0,3092.0,Acetylated Peptides,Peptide,phenylacetylcarnitine,metabolite_100006108,0.203491343591424,0.0,0.203491343591424,microbiome,phenylacetylcarnitine
100002488,,-0.00466748698972918,1.0,,-0.0843740714192262,1.0,"(0.1927789479348025, 0.26169747139787775)",0.250223433156172,7.26639172345986e-42,,-0.00472115951703955,1.0,,-0.0558639688028017,1.0,"(0.15872715533777224, 0.23175503406731046)",0.202906452976654,3.53138999786604e-25,,-0.00935936677470339,1.0,100002488,57577,HMDB00686,,isoursodeoxycholate,78919-26-3,113205.0,C17662,391.28538,2633.0,LC/MS Neg,127601.0,4809.0,Secondary Bile Acid Metabolism,Lipid,isoursodeoxycholate,metabolite_100002488,0.202906452976654,0.0,0.202906452976654,microbiome,isoursodeoxycholate
100002249,,-0.0127955698443746,1.0,"(-0.01578564519747515, 0.06891348766966415)",0.0204366984662142,0.336941806115726,"(0.13843219211574814, 0.2067403420471288)",0.208185502454041,1.21410322462876e-29,,-0.00504254264285242,1.0,,-0.0707940132432254,1.0,"(0.12396346683220284, 0.20040890616871432)",0.202486457592511,3.61877741828234e-23,,-0.000880894461703141,1.0,100002249,43530,HMDB02284,,N-acetyl-cadaverine,32343-73-0,,,145.133539999999,106.0,LC/MS Pos Early,189087.0,2385.0,Lysine Metabolism,Amino Acid,N-acetyl-cadaverine,metabolite_100002249,0.202486457592511,0.0,0.202486457592511,microbiome,N-acetyl-cadaverine
100001092,"(-0.041832209475951836, 0.055952533861023564)",0.0418903954144903,0.0835947859513925,"(0.24750294294663974, 0.31435663242820544)",0.337833437641703,1.04255634707863e-76,"(0.31643901226474785, 0.37753771891213983)",0.419017710483377,1.15519829875455e-136,,-0.00580219923335856,1.0,,-0.033999324238013,1.0,"(0.11531064494393824, 0.1934765205142557)",0.200848359872839,2.75462619243544e-23,"(0.05446010022994878, 0.08439547159610712)",0.0795713549583596,9.9723322255734e-24,100001092,32401,HMDB00875,,trigonelline (N'-methylnicotinate),535-83-1,5369.0,C01004,138.05496,3394.0,LC/MS Pos Early,5570.0,1388.0,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,trigonelline (N'-methylnicotinate),metabolite_100001092,0.200848359872839,0.0,0.200848359872839,microbiome,trigonelline (N'-methylnicotinate)
X - 12306,,-0.00480126338117181,1.0,"(0.073935275710562, 0.15205451672767845)",0.128158696565111,1.74712622353802e-10,"(0.1811373555728331, 0.23933817481176572)",0.20554771014734,1.94761842543717e-38,,-0.00307243304641424,1.0,"(-0.07444548801883413, 0.023104501996217938)",0.00248685113091762,0.920790069706375,"(0.15809405174609995, 0.2222404284369917)",0.198282421465193,1.20570669700983e-31,"(0.00034808469088670806, 0.03303599758790947)",0.0180484984042469,0.029819313642361,X - 12306,47917,,,X - 12306,,,,247.02846,,LC/MS Neg,,2350.0,,,X - 12306,metabolite_X - 12306,0.198282421465193,0.0,0.198282421465193,microbiome,X - 12306
250+100001950,"(-0.023142878008514264, 0.07484222771761219)",0.0991892304807067,6.82878659932335e-05,,-0.057356646850093,1.0,"(0.005391181850386387, 0.08528730353967738)",0.0697749655529991,0.000412736727073043,"(0.1970901214984786, 0.1970911214984786)",0.197090121498478,2.2496534400713e-21,,-0.0466588861319718,1.0,,-0.0122507645386689,1.0,,-0.0149631001519727,1.0,250,2137,HMDB01008,,biliverdin,55482-27-4;55482-27-4,10628548.0,C00500,583.25512,3463.0,LC/MS Pos Late,5353439.0,1016.0,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,biliverdin,metabolite_250,0.0,0.197090121498478,0.197090121498478,genetics,biliverdin
X - 24410,,-0.0487344136370406,1.0,"(-0.030680819067218187, 0.0550505239227988)",0.00699117000483773,0.753111583532442,"(0.1383201047147232, 0.20956426095649477)",0.181673982202211,5.41667946744891e-23,,-0.00323706326330541,1.0,,-0.00634898923118365,1.0,"(0.14798945374488492, 0.21991838258194782)",0.190697541062424,1.51730781201966e-23,,-0.0148562467395545,1.0,X - 24410,52639,,,X - 24410,,,,116.07048,,LC/MS Pos Early,,881.0,,,candidate structure is piperidine related,metabolite_X - 24410,0.190697541062424,0.0,0.190697541062424,microbiome,X - 24410
X - 23639,"(-0.005801009163620497, 0.08246810521195239)",0.0639433213741107,0.00528618051945245,"(0.15917843059307893, 0.23497394760820406)",0.252610765051481,3.32794372803057e-37,"(0.18334686430031757, 0.2533585407711438)",0.279865430164647,8.81563733435541e-54,,-0.00491110969296371,1.0,,-0.0544445480686637,1.0,"(0.07877147911181277, 0.15411042449783505)",0.188987428401736,5.38992132993721e-23,,-0.0112391660874837,1.0,X - 23639,49515,,,X - 23639,,,,134.08104,,LC/MS Pos Early,,1640.0,,,"high priority internally, but don't have a good guess right now",metabolite_X - 23639,0.188987428401736,0.0,0.188987428401736,microbiome,X - 23639
X - 17612,,-0.00810316386400678,1.0,,-0.132111873817044,1.0,"(0.12745995724806214, 0.1972004681635523)",0.20737765990655,2.51064473293969e-32,,-0.00277409654619153,1.0,,-0.0447266442854838,1.0,"(0.14197681937210346, 0.2116631051933927)",0.188578440936607,1.33722668358154e-25,,-0.0135391353203178,1.0,X - 17612,48052,,,X - 17612,,,,567.31926,,LC/MS Neg,,4308.0,,,X - 17612,metabolite_X - 17612,0.188578440936607,0.0,0.188578440936607,microbiome,X - 17612
100004111,,-0.0474182738534139,1.0,,-0.0579931708260736,1.0,"(0.12096030410185137, 0.20239120062689522)",0.200585510907946,6.4342682055629e-23,,-0.00498564657222266,1.0,,-0.00902462365330825,1.0,"(0.11265971442281583, 0.19255951154568668)",0.188360365193183,2.11632461477751e-19,"(0.0029291181723905637, 0.0346236501890108)",0.0243429055175204,0.00389445850507375,100004111,46146,,,4-methylcatechol sulfate,,,,203.00196,3528.0,LC/MS Neg,,2665.0,Benzoate Metabolism,Xenobiotics,4-methylcatechol sulfate,metabolite_100004111,0.188360365193183,0.0,0.188360365193183,microbiome,4-methylcatechol sulfate
X - 12798,,-0.0109104033391005,1.0,"(-0.022109191414866423, 0.07245567366454579)",0.0301367728979685,0.219903836829772,"(-0.018841349969929973, 0.06518440836584986)",0.0623403365951086,0.00496116774225952,"(0.18547519908171506, 0.18547619908171506)",0.185475199081715,2.89580054404732e-20,"(-0.08424349335377332, 0.007262543239928499)",0.0276539243936193,0.241009700887173,,-0.0136097571422357,1.0,,-0.00327669134731767,1.0,X - 12798,46624,,,X - 12798,,,,240.10168,,LC/MS Pos Early,,2011.0,,,X - 12798,metabolite_X - 12798,0.0,0.185475199081715,0.185475199081715,genetics,X - 12798
100002021,"(0.0470130694020842, 0.1342408664283796)",0.113054290939384,2.21325836032808e-07,,-0.00360429265178496,1.0,"(0.2528581019345495, 0.3133603341378945)",0.303753558260864,8.47485956606287e-82,,-0.00503072825242956,1.0,,-0.0257168938220759,1.0,"(0.13459039964063238, 0.19623168643951608)",0.177769674026357,9.61008082027951e-27,,-0.0197703920356673,1.0,100002021,37187,,,"5alpha-androstan-3beta,17alpha-diol disulfate",,,,225.06965,2577.0,LC/MS Neg,,4215.0,Androgenic Steroids,Lipid,"5alpha-androstan-3beta,17alpha-diol disulfate",metabolite_100002021,0.177769674026357,0.0,0.177769674026357,microbiome,"5alpha-androstan-3beta,17alpha-diol disulfate"
X - 13729,"(-0.0223971949462999, 0.06771488701667584)",0.0643928851230151,0.0044337775234454,"(-0.011274438596624286, 0.06985144832202554)",0.0277239912880639,0.184199668416877,"(0.1721129054811939, 0.2382853535586395)",0.244074631111605,1.66834898875943e-44,,-0.0296317583568748,1.0,,-0.0526859225409144,1.0,"(0.12302537075838012, 0.19359732835034224)",0.176662237685461,1.39766621933849e-22,"(0.007274667154972695, 0.03916526586187697)",0.0324120609240852,9.42980780980932e-05,X - 13729,47971,,,X - 13729,,,,241.97681,,LC/MS Neg,,1745.0,,,X - 13729,metabolite_X - 13729,0.176662237685461,0.0,0.176662237685461,microbiome,X - 13729
100010896,,-0.00911620726710493,1.0,,-0.0875468033784117,1.0,,-0.000914803451062651,1.0,"(0.17531532293488716, 0.17531632293488716)",0.175315322934887,5.00352582240437e-19,,-0.033190247306132,1.0,,-0.0129263321598345,1.0,"(-0.012771886989055787, 0.01953602876311684)",0.017504457969713,0.0406097629312642,100010896,57655,,,2'-O-methyluridine,2140-76-3,92343.0,,257.07791,3320.0,LC/MS Neg,102212.0,1831.0,"Pyrimidine Metabolism, Uracil containing",Nucleotide,2'-O-methyluridine,metabolite_100010896,0.0,0.175315322934887,0.175315322934887,genetics,2'-O-methyluridine
100004318,,-0.0367845247920268,1.0,,-0.0376776633229332,1.0,"(0.10307321131160574, 0.17232974947235805)",0.175126909614731,1.09967214814565e-22,,-0.00343584591738244,1.0,,-0.0392831427104332,1.0,"(0.09601599619836163, 0.16477634262661284)",0.175026234874911,6.59563816862734e-24,"(-0.021969985635967068, 0.010622130242103562)",0.00508861105923308,0.547586457168099,100004318,43374,,,indolin-2-one,59-48-3,284794.0,C12312,134.06004,3828.0,LC/MS Pos Early,321710.0,2575.0,Food Component/Plant,Xenobiotics,indolin-2-one,metabolite_100004318,0.175026234874911,0.0,0.175026234874911,microbiome,indolin-2-one
X - 24348,"(-0.0012489806887554713, 0.09507990083913492)",0.074605586468871,0.00225807418253112,,-0.0365546968266454,1.0,"(-0.017085879297379553, 0.06262825390077924)",0.0438228782617154,0.0338860635212729,"(0.1749713566423925, 0.1749723566423925)",0.174971356642392,5.30240787192001e-19,,-0.0632700984808993,1.0,,-0.0288035405789404,1.0,,-0.00842943114570449,1.0,X - 24348,52544,,,GlcNAc sulfate conjugate of C21H34O2 steroid**,,,,299.6386,,LC/MS Neg,,4309.0,Partially Characterized Molecules,Partially Characterized Molecules,X - 24348,metabolite_X - 24348,0.0,0.174971356642392,0.174971356642392,genetics,GlcNAc sulfate conjugate of C21H34O2 steroid**
X - 17185,"(-0.056479124547869644, 0.040573106484886705)",0.0520207719005408,0.0343872950500989,"(0.19579109703845665, 0.2668753379231557)",0.272779212613792,1.12859872462525e-48,"(0.2469228538128029, 0.31074193614879025)",0.342336716353131,1.00024274554422e-84,,-0.0201094588661059,1.0,,-0.00661059319376056,1.0,"(0.07591578801191089, 0.1547453982315463)",0.173467738908641,5.5693494511882e-18,"(0.006836260151930263, 0.04086140101433614)",0.0375770207726658,1.06871074770891e-05,X - 17185,46490,,,4-vinylcatechol sulfate,,,,215.00199,,LC/MS Neg,,3079.5,Benzoate Metabolism,Xenobiotics,candidate structure is phenol-related,metabolite_X - 17185,0.173467738908641,0.0,0.173467738908641,microbiome,4-vinylcatechol sulfate
100006378,"(-0.006995393947634099, 0.08997919294905403)",0.0790416940799585,0.00153626883971475,,-0.0295820696719637,1.0,"(0.010360923677234624, 0.09009135097928829)",0.0364960385205114,0.0739880844162821,"(0.16908901000449816, 0.16909001000449816)",0.169089010004498,2.41606230571891e-18,,-0.0256157753357444,1.0,"(-0.06675530074416015, 0.025409460208380006)",0.00329573765896396,0.886408683028706,,-0.00741962033902376,1.0,100006378,48757,,,N-acetylkynurenine (2),,,,249.08808,210.0,LC/MS Neg,,2378.0,Tryptophan Metabolism,Amino Acid,N-acetylkynurenine (2),metabolite_100006378,0.00329573765896396,0.169089010004498,0.17238474766346196,hybrid,N-acetylkynurenine (2)
100001466,"(-0.03245124284934392, 0.06558907505793063)",0.0445494822938701,0.0730157186621971,,-0.0102565583622367,1.0,"(0.0067706544411951074, 0.0807888136854692)",0.069543926265617,0.000363262865698774,"(0.13208590784919286, 0.13208690784919286)",0.132085907849192,1.96800376086731e-14,,-0.051204111557138,1.0,"(-0.02781573191948701, 0.05396982343616048)",0.039153198845841,0.0610115956701223,,-0.00138094136927069,1.0,100001466,35132,,,3-methylcytidine,21028-20-6,9164190.0,,258.10845,3347.0,LC/MS Pos Early,159649.0,2176.0,"Pyrimidine Metabolism, Cytidine containing",Nucleotide,3-methylcytidine,metabolite_100001466,0.039153198845841,0.132085907849192,0.171239106695033,hybrid,3-methylcytidine
100001083,,-0.00709515845250385,1.0,"(-0.013516887113595291, 0.07942464985838046)",0.0532698809699608,0.0267953314269202,"(0.12819843176335785, 0.21701701007099042)",0.199170513535229,4.65786814352863e-19,,-0.0234222500096612,1.0,,-0.0147690814915277,1.0,"(0.09089003362278432, 0.18728608504194508)",0.16953702688731,2.27220347464622e-11,"(-0.012619185892502577, 0.019262693643373522)",0.00409306042125112,0.629329202089922,100001083,32405,HMDB02302,,indolepropionate,830-96-6,3613.0,,188.0717,231.0,LC/MS Neg,3744.0,2795.0,Tryptophan Metabolism,Amino Acid,indolepropionate,metabolite_100001083,0.16953702688731,0.0,0.16953702688731,microbiome,indolepropionate
X - 17469,,-0.0114720995011523,1.0,,-0.0288455167162264,1.0,"(0.13831414305416181, 0.21796344808819323)",0.201957486582849,2.86412248354772e-22,,-0.0215457791436464,1.0,"(-0.08224543398004952, 0.015935726355226942)",0.00542255303848648,0.828700098276687,"(0.09557108925101432, 0.18715869306485117)",0.169252913290439,2.14327699062234e-12,"(-0.005442361681866048, 0.026114615704340708)",0.00981572145629128,0.239531025221169,X - 17469,46706,,,lithocholic acid sulfate (1),,,,227.11977,,LC/MS Neg,,4840.0,,,X - 17469,metabolite_X - 17469,0.169252913290439,0.0,0.169252913290439,microbiome,lithocholic acid sulfate (1)
100002911,,-0.0534530984645524,1.0,,-0.0538583857250276,1.0,"(0.123063435155842, 0.1997636019918126)",0.174641762983589,1.30207894377885e-18,,-0.0014695264861031,1.0,,-0.0416145193505177,1.0,"(0.11219908080264576, 0.1869446305063678)",0.165525642081109,1.80927837519379e-17,"(-0.013090957953618282, 0.01905226645436225)",0.00946663829161453,0.25432517998742,100002911,39379,HMDB00708,,glycoursodeoxycholate,64480-66-6,19973534.0,,448.30684,2634.0,LC/MS Neg,12310288.0,5033.0,Secondary Bile Acid Metabolism,Lipid,glycoursodeoxycholate,metabolite_100002911,0.165525642081109,0.0,0.165525642081109,microbiome,glycoursodeoxycholate
X - 11491,"(-0.009087638131134362, 0.08373059521820092)",0.0491062055165596,0.0351465378466804,,-0.0188072925045816,1.0,"(0.032327500781019945, 0.11190621529138194)",0.0718745895890362,0.000350091506577973,"(0.16509048628752576, 0.16509148628752576)",0.165090486287525,7.16105828807883e-18,,-0.0815739829575301,1.0,,-0.0263372358707545,1.0,"(-0.009943188852122151, 0.02026592512337177)",0.00212923328941594,0.788952735709087,X - 11491,47651,,,deoxycholic acid glucuronide,,,,567.31879,,LC/MS Neg,,4819.0,Secondary Bile Acid Metabolism,Lipid,X - 11491,metabolite_X - 11491,0.0,0.165090486287525,0.165090486287525,genetics,deoxycholic acid glucuronide
X - 21448,"(-0.027588607254455062, 0.06357104429094067)",0.0765978394691755,0.00141653675140965,,-0.0860723217091965,1.0,"(-0.020808796342608325, 0.056408879552028154)",0.0326904235080399,0.094997998346202,"(0.16429110749571996, 0.16429210749571996)",0.164291107495719,8.11527343522128e-18,,-0.0605852266532434,1.0,,-0.0500621894311452,1.0,,-0.00755020364523462,1.0,X - 21448,46493,,,"bilirubin degradation product, C16H18N2O5 (1)**",,,,317.11472,,LC/MS Neg,,3098.0,Partially Characterized Molecules,Partially Characterized Molecules,X - 21448,metabolite_X - 21448,0.0,0.164291107495719,0.164291107495719,genetics,"bilirubin degradation product, C16H18N2O5 (1)**"
X - 12117,"(0.07050159469922895, 0.15929219064847822)",0.142478318434027,2.59582663742233e-10,,-0.0672526859375322,1.0,"(0.09471835848908475, 0.16642236807627359)",0.161884548890661,1.2051902633282e-17,"(0.16411568457207515, 0.16411668457207515)",0.164115684572075,5.88730532919396e-18,,-0.0257691854026334,1.0,,-0.0540837700039247,1.0,,-0.00574670562921086,1.0,X - 12117,47695,,,X - 12117,,,,204.13397,,LC/MS Pos Early,,2366.0,,,X - 12117,metabolite_X - 12117,0.0,0.164115684572075,0.164115684572075,genetics,X - 12117
100001658,"(-0.07852993386853743, 0.017780099900401664)",0.0151979307966597,0.533677426113975,,-0.0183408800365432,1.0,"(0.16688184505784884, 0.2456196237747107)",0.230046641512776,2.0881072134944e-26,,-0.00423700269135451,1.0,,-0.032915259571252,1.0,"(0.1143593234730042, 0.2057687097134905)",0.163970674599666,6.80338247681514e-12,"(0.0011193482220683755, 0.034921580685696785)",0.023494210727654,0.00632979994246003,100001658,36850,HMDB02580,,taurolithocholate 3-sulfate,64936-83-0,389078.0,C03642,280.62205,2630.0,LC/MS Neg,440071.0,5026.7,Secondary Bile Acid Metabolism,Lipid,taurolithocholate 3-sulfate,metabolite_100001658,0.163970674599666,0.0,0.163970674599666,microbiome,taurolithocholate 3-sulfate
100000014,"(-0.055362788187860584, 0.03937050449423237)",0.0247870045799963,0.309148617888422,"(0.1075160616628238, 0.1825364359166223)",0.183262440248429,1.19907952676273e-20,"(0.19876621028782165, 0.26330082450365105)",0.268301008629218,7.17556374697645e-56,,-0.00296956630217137,1.0,,-0.00380809140562732,1.0,"(0.10729944787652419, 0.18079469623934374)",0.16289216468803,4.34597190114442e-17,,-0.00506033328166699,1.0,100000014,15753,HMDB00714,,hippurate,495-69-2,451.0,C01586,178.05096,3493.0,LC/MS Neg,464.0,2106.9,Benzoate Metabolism,Xenobiotics,hippurate,metabolite_100000014,0.16289216468803,0.0,0.16289216468803,microbiome,hippurate
100002568,,-0.022506985917079,1.0,,-0.0493254320254452,1.0,"(0.08491157065885813, 0.16514826101675512)",0.183790135173281,1.06057090521701e-19,,-0.00424015221163376,1.0,,-0.0386118778131854,1.0,"(0.06915827241421357, 0.15748254484322302)",0.157146069501668,4.320187904506e-12,"(-0.0019695606148402932, 0.03088552515629062)",0.0223083613385274,0.00718366687094689,100002568,40173,HMDB04159,,L-urobilin,34217-90-8,4444369.0,C05793,595.34902,3466.0,LC/MS Pos Late,5280818.0,901.0,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,L-urobilin,metabolite_100002568,0.157146069501668,0.0,0.157146069501668,microbiome,L-urobilin
100020901,"(-0.046019344907522915, 0.058535857609222496)",0.0473740046243806,0.0750338336394596,,-0.0328404385958038,1.0,"(-0.023418477749470697, 0.06223318236080078)",0.0328216541990622,0.127994606250505,"(0.15630306055767462, 0.15630406055767462)",0.156303060557674,4.46555806755863e-17,,-0.0242648207104867,1.0,,-0.0610002974070127,1.0,"(-0.019690816124889772, 0.01349906478949216)",0.00851905978508127,0.32691670883334,100020901,62808,,,Fibrinopeptide A (3-15)**,,,,595.75274,932.0,LC/MS Neg,,2419.0,Fibrinogen Cleavage Peptide,Peptide,Fibrinopeptide A (3-15)**,metabolite_100020901,0.0,0.156303060557674,0.156303060557674,genetics,Fibrinopeptide A (3-15)**
100000580,"(0.07997831085880631, 0.16380119769782023)",0.144611089481101,3.35403007276973e-11,"(0.2217375832964873, 0.28929864064810096)",0.275079207879439,2.7813127552695e-53,"(0.2418119837592062, 0.31014682626965423)",0.322139654217336,1.8308948672087e-72,,-0.0071872851201864,1.0,,-0.0165834224185739,1.0,"(0.08610308818872588, 0.16530089479363208)",0.15530052357882,1.44517445336956e-14,,-0.00235563558548146,1.0,100000580,20675,HMDB02712,,"1,5-anhydroglucitol (1,5-AG)",154-58-5,,C07326,163.061189999999,875.0,LC/MS Neg,64960.0,802.0,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,"1,5-anhydroglucitol (1,5-AG)",metabolite_100000580,0.15530052357882,0.0,0.15530052357882,microbiome,"1,5-anhydroglucitol (1,5-AG)"
X - 17354+X - 22509,"(-0.09572619991869803, 0.00030223060095087377)",0.00823145531831437,0.733598032131289,"(0.03179252597321648, 0.11162828183453609)",0.100613175185952,1.48481014143478e-06,"(0.1673994506860783, 0.22968117127829396)",0.226750086799691,2.5995877233395e-43,,-0.00697225061030004,1.0,,-0.0198291412801432,1.0,"(0.11449349944313736, 0.18648443763989045)",0.155264512596969,9.86673937348469e-17,"(-0.019018188221128326, 0.013454475342499553)",0.0012107708957999,0.88500448942926,X - 17354,47009,,,X - 17354,,,,473.14719,,LC/MS Neg,,3520.0,,,candidate structure is polyphenol related,metabolite_X - 17354,0.155264512596969,0.0,0.155264512596969,microbiome,X - 17354
X - 16946+X - 24849,"(-0.029868543677528815, 0.05951185212867541)",0.0718237720163494,0.00189791725185375,"(-0.039788522785894676, 0.04401404405003856)",0.0040662809297185,0.854759883270743,"(0.0046086353944251425, 0.07806918143898844)",0.0657121960861922,0.000448097737734914,"(0.1533859390691844, 0.1533869390691844)",0.153385939069184,1.19662989940302e-16,,-0.0789880985094533,1.0,,-0.0168403881476977,1.0,"(-0.02652106370000757, 0.0077810172836511975)",0.00480651941258603,0.582755616174803,X - 16946,46517,,,"bilirubin degradation product, C16H18N2O5 (2)**",,,,317.11493,,LC/MS Neg,,3240.0,Partially Characterized Molecules,Partially Characterized Molecules,X - 16946,metabolite_X - 16946,0.0,0.153385939069184,0.153385939069184,genetics,"bilirubin degradation product, C16H18N2O5 (2)**"
